r,scenario,attack0,attack1,attack2,attack3,attack4
1.3,het1,0.052403500,0.131754000,0.045141700,0.047751400,0.028430600
1.3,het1,0.048433700,0.121292000,0.041916900,0.044249100,0.025968600
1.3,het1,0.046030300,0.114777000,0.039634300,0.041418500,0.024228600
1.3,het1,0.047938200,0.121146000,0.041326300,0.043787700,0.025520400
1.3,het10,0.001574160,0.002429350,0.001452090,0.001457010,0.000862127
1.3,het10,0.001604840,0.002317940,0.001392960,0.001443120,0.000850085
1.3,het10,0.001522180,0.002343640,0.001388580,0.001399980,0.000862570
1.3,het10,0.001590220,0.002516750,0.001549180,0.001540510,0.000926969
1.3,het10,0.001759320,0.002711810,0.001621260,0.001631420,0.000966652
1.3,het10,0.001420220,0.002340410,0.001376050,0.001379870,0.000815410
1.3,het10,0.001430090,0.002166260,0.001339120,0.001313280,0.000787201
1.3,het10,0.001400240,0.002064350,0.001235850,0.001267030,0.000775709
1.3,het10,0.001538500,0.002252320,0.001354840,0.001397860,0.000874597
1.3,het10,0.001741120,0.002784730,0.001670130,0.001676430,0.000992715
1.3,het11,0.001185590,0.001685680,0.001174340,0.001139460,0.000724933
1.3,het11,0.001196800,0.001636770,0.001165080,0.001149960,0.000656339
1.3,het11,0.001346760,0.001794950,0.001190620,0.001185050,0.000710764
1.3,het11,0.001185410,0.001618980,0.001144020,0.001124510,0.000733101
1.3,het11,0.001151630,0.001521760,0.001062800,0.001070100,0.000636903
1.3,het11,0.001082340,0.001462920,0.001035450,0.001019920,0.000602497
1.3,het11,0.001130830,0.001618670,0.001149360,0.001064860,0.000658695
1.3,het11,0.001280820,0.001723290,0.001109510,0.001102820,0.000661354
1.3,het11,0.001420430,0.001941100,0.001222740,0.001212980,0.000759922
1.3,het11,0.000958708,0.001385450,0.000971224,0.000982061,0.000563656
1.3,het2,0.032563600,0.079539300,0.028696700,0.029792300,0.017607300
1.3,het2,0.031359300,0.076396700,0.027466100,0.028787300,0.016670400
1.3,het2,0.034144400,0.083771200,0.029853700,0.031542500,0.018418000
1.3,het2,0.031704800,0.077836300,0.028055400,0.029347100,0.017204700
1.3,het2,0.037790000,0.092238200,0.033197800,0.035050600,0.020632100
1.3,het2,0.031830400,0.077649500,0.027945800,0.029415700,0.017105100
1.3,het2,0.032732000,0.079348200,0.028619900,0.029909800,0.017389200
1.3,het2,0.030880400,0.074554100,0.026623300,0.028009700,0.016116800
1.3,het2,0.033405000,0.079829600,0.028807100,0.030013800,0.017487600
1.3,het2,0.030110600,0.074332300,0.026398300,0.027623700,0.016082500
1.3,het3,0.023675800,0.055969800,0.020780300,0.021800300,0.012698100
1.3,het3,0.029937400,0.070508100,0.026415900,0.027461400,0.015934500
1.3,het3,0.022143200,0.052749200,0.019595100,0.020356100,0.011728100
1.3,het3,0.028649400,0.066926300,0.025240700,0.026190200,0.015069300
1.3,het3,0.025193800,0.059599000,0.021981300,0.023194300,0.013746700
1.3,het3,0.023840400,0.056003000,0.020684200,0.021559900,0.012639900
1.3,het3,0.023754400,0.056153800,0.020832600,0.021833300,0.012860900
1.3,het3,0.022476400,0.053921300,0.019882400,0.020891800,0.012081800
1.3,het3,0.023630200,0.055024500,0.020521100,0.021464700,0.012528200
1.3,het3,0.029340300,0.068596900,0.025417100,0.026570700,0.015335600
1.3,het4,0.013679100,0.031315400,0.012280400,0.012708100,0.007397690
1.3,het4,0.016183700,0.036162000,0.014000900,0.014582000,0.008498890
1.3,het4,0.015529800,0.036092800,0.013857100,0.014628700,0.008352320
1.3,het4,0.014979900,0.034336400,0.013385600,0.013925500,0.007995480
1.3,het4,0.016862800,0.038929500,0.014953000,0.015659300,0.009194770
1.3,het4,0.015772500,0.035855600,0.013872400,0.014476500,0.008456260
1.3,het4,0.015291800,0.035049300,0.013787400,0.014132100,0.008117680
1.3,het4,0.014175200,0.032827300,0.012805500,0.013241200,0.007764470
1.3,het4,0.015569900,0.035806200,0.013882000,0.014441900,0.008474660
1.3,het4,0.019386800,0.043787200,0.017191400,0.017878900,0.010180600
1.3,het5,0.012696800,0.027941000,0.011326500,0.011810100,0.006796440
1.3,het5,0.013852100,0.029569900,0.012330700,0.012750200,0.007278190
1.3,het5,0.009488760,0.020601800,0.008696800,0.008798650,0.005066190
1.3,het5,0.011511700,0.024758700,0.010094700,0.010503800,0.006213930
1.3,het5,0.011492100,0.024581800,0.010255900,0.010565500,0.006093730
1.3,het5,0.009474680,0.020484500,0.008326510,0.008630560,0.005003280
1.3,het5,0.011149200,0.024081400,0.009952900,0.010368300,0.005938180
1.3,het5,0.011263800,0.024080600,0.010080400,0.010397100,0.006077030
1.3,het5,0.010532900,0.023276800,0.009528350,0.009942690,0.005813000
1.3,het5,0.009323830,0.020816800,0.008632250,0.008953230,0.005098880
1.3,het6,0.007351600,0.015736000,0.006756050,0.007034770,0.004067430
1.3,het6,0.006469180,0.013519000,0.005808530,0.005900740,0.003486290
1.3,het6,0.007009440,0.014361700,0.006397030,0.006499130,0.003795130
1.3,het6,0.006502920,0.014006700,0.005966300,0.006216510,0.003571010
1.3,het6,0.006684300,0.013958300,0.006148160,0.006283100,0.003670460
1.3,het6,0.007857830,0.016099000,0.007015380,0.007192780,0.004307210
1.3,het6,0.005756780,0.011289000,0.005074180,0.005161130,0.002986980
1.3,het6,0.005898980,0.012014100,0.005333020,0.005452350,0.003177230
1.3,het6,0.006372600,0.013123200,0.005664760,0.005851450,0.003402680
1.3,het6,0.008465940,0.017268200,0.007575820,0.007792270,0.004442860
1.3,het7,0.004447320,0.008734290,0.004135320,0.004257250,0.002497510
1.3,het7,0.005353260,0.010234200,0.004772570,0.004869290,0.002872460
1.3,het7,0.004208060,0.008011020,0.003705110,0.003912020,0.002318630
1.3,het7,0.004526490,0.008527310,0.003906050,0.004155640,0.002393090
1.3,het7,0.004503080,0.008580210,0.003969020,0.004148620,0.002339980
1.3,het7,0.005101460,0.009716960,0.004430450,0.004562710,0.002592060
1.3,het7,0.003518110,0.006925290,0.003414540,0.003370580,0.002002730
1.3,het7,0.004727420,0.009311240,0.004348770,0.004427520,0.002605560
1.3,het7,0.005003990,0.009855980,0.004521270,0.004631850,0.002710690
1.3,het7,0.004527470,0.008739360,0.004080250,0.004133810,0.002434680
1.3,het8,0.003784220,0.007266240,0.003593100,0.003651270,0.002100750
1.3,het8,0.003301200,0.006320380,0.003177690,0.003238330,0.001961220
1.3,het8,0.002831500,0.005081640,0.002463220,0.002563030,0.001463080
1.3,het8,0.003288860,0.006090940,0.003136900,0.003069520,0.001838020
1.3,het8,0.002328090,0.004488820,0.002263860,0.002297520,0.001411450
1.3,het8,0.002785120,0.005086530,0.002531180,0.002596310,0.001534760
1.3,het8,0.002950650,0.005482520,0.002533570,0.002685280,0.001557980
1.3,het8,0.002989500,0.005565440,0.002715850,0.002718700,0.001646380
1.3,het8,0.002770530,0.004958820,0.002367410,0.002447820,0.001439560
1.3,het8,0.003530850,0.006388690,0.003250660,0.003200280,0.001986440
1.3,het9,0.002150600,0.003532030,0.001954400,0.001998280,0.001168470
