"","scenario","r","AgeGroup","AveAttackRate","SDAttackRate","vax"
"362","hom","1.4","5-18",0.002237352,0.000344061265597342,"7"
"363","hom","1.4","19-29",0.001579462,0.000223099066873889,"7"
"364","hom","1.4","30-64",0.001510268,0.000217286732826057,"7"
"365","hom","1.4","65+",0.0007402149,9.1306783518775e-05,"7"
"366","hom","1.4","0-4",0.0009787169,8.67885523076376e-05,"8"
"367","hom","1.4","5-18",0.001301931,0.000112949815252419,"8"
"368","hom","1.4","19-29",0.0010777812,7.66176225055307e-05,"8"
"369","hom","1.4","30-64",0.001026491,8.213649853479e-05,"8"
"370","hom","1.4","65+",0.0005128933,4.21557472424184e-05,"8"
"371","hom","1.4","0-4",0.0006572861,5.9199299234685e-05,"9"
"372","hom","1.4","5-18",0.0007800267,8.76383361942706e-05,"9"
"373","hom","1.4","19-29",0.0007890456,8.12381339180615e-05,"9"
"374","hom","1.4","30-64",0.0007366188,7.25989319477605e-05,"9"
"375","hom","1.4","65+",0.0003807312,3.68729704550335e-05,"9"
